Data	M7
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-5576.86
Y-Coord	-5238.77
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
215	  -11467.2	  -276.216	   17.3983	   17.3983	   17.3983
216	  -11449.5	  -258.562	   20.0604	   20.0604	   20.0604
217	  -11456.3	  -265.345	   20.4434	   20.4434	   20.4434
218	  -11460.6	  -269.594	   17.3296	   17.3296	   17.3296
219	  -11459.1	  -268.091	   10.4943	   10.4943	   10.4943
220	  -11483.8	  -292.818	   1.42604	   1.42604	   1.42604
221	  -11495.8	    -304.8	  -6.33023	  -6.33023	  -6.33023
222	  -11492.2	  -301.252	  -10.3859	  -10.3859	  -10.3859
223	  -11494.1	  -303.072	  -11.4129	  -11.4129	  -11.4129
224	  -11494.3	  -303.336	  -11.0194	  -11.0194	  -11.0194
225	  -11491.2	  -300.241	  -10.1298	  -10.1298	  -10.1298
226	  -11493.1	  -302.106	  -8.92835	  -8.92835	  -8.92835
227	  -11493.1	  -302.114	  -7.12154	  -7.12154	  -7.12154
228	  -11487.7	  -296.742	   -4.9734	   -4.9734	   -4.9734
229	  -11483.2	  -292.184	  -3.74114	  -3.74114	  -3.74114
230	  -11489.9	  -298.927	  -4.25991	  -4.25991	  -4.25991
231	  -11490.1	  -299.154	  -5.93821	  -5.93821	  -5.93821
232	  -11494.3	  -303.355	  -7.16249	  -7.16249	  -7.16249
233	  -11501.9	  -310.936	  -6.03224	  -6.03224	  -6.03224
234	  -11486.3	   -295.36	  -2.10241	  -2.10241	  -2.10241
235	  -11481.6	  -290.632	   2.99851	   2.99851	   2.99851
236	  -11482.6	  -291.632	    8.0214	    8.0214	    8.0214
237	  -11474.4	  -283.369	   13.0975	   13.0975	   13.0975
238	  -11470.2	  -279.172	   18.0507	   18.0507	   18.0507
239	  -11464.7	  -273.759	    21.493	    21.493	    21.493
240	  -11458.9	  -267.923	   21.5206	   21.5206	   21.5206
241	  -11470.9	  -279.879	    17.552	    17.552	    17.552
242	  -11484.5	  -293.488	   10.6618	   10.6618	   10.6618
243	  -11476.9	  -285.934	   1.05388	   1.05388	   1.05388
244	  -11500.4	  -309.465	   -11.206	   -11.206	   -11.206
245	  -11532.7	  -341.684	  -22.7974	  -22.7974	  -22.7974
246	  -11520.4	  -329.403	  -30.3755	  -30.3755	  -30.3755
247	    -11525	  -334.033	  -34.9375	  -34.9375	  -34.9375
248	  -11535.9	  -344.946	  -38.4252	  -38.4252	  -38.4252
249	  -11534.3	   -343.31	  -40.0566	  -40.0566	  -40.0566
250	  -11543.4	  -352.376	  -37.4207	  -37.4207	  -37.4207
251	  -11529.4	  -338.415	  -29.2716	  -29.2716	  -29.2716
252	  -11508.1	  -317.103	  -17.6442	  -17.6442	  -17.6442
253	  -11498.3	  -307.352	  -6.10912	  -6.10912	  -6.10912
254	  -11493.1	   -302.11	   3.69473	   3.69473	   3.69473
