Data	M2
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-2938.84
Y-Coord	34576.99
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
141	  -11364.2	   -1811.9	   61.7856	   61.7856	   61.7856
142	  -11344.6	  -1792.25	   91.4028	   91.4028	   91.4028
143	    -11370	   -1817.7	   103.232	   103.232	   103.232
144	  -11393.1	  -1840.71	   104.622	   104.622	   104.622
145	  -11407.8	  -1855.42	   102.675	   102.675	   102.675
146	  -11404.9	  -1852.56	   95.4955	   95.4955	   95.4955
147	    -11432	  -1879.64	   75.4508	   75.4508	   75.4508
148	  -11497.5	  -1945.17	   39.6366	   39.6366	   39.6366
149	  -11569.7	  -2017.34	  -5.38621	  -5.38621	  -5.38621
150	  -11641.5	  -2089.14	  -49.3282	  -49.3282	  -49.3282
151	  -11676.4	  -2124.07	  -86.7593	  -86.7593	  -86.7593
152	  -11718.4	   -2166.1	  -118.763	  -118.763	  -118.763
153	  -11766.4	  -2214.03	  -146.145	  -146.145	  -146.145
154	  -11814.9	   -2262.6	  -164.107	  -164.107	  -164.107
155	  -11835.6	  -2283.28	  -166.227	  -166.227	  -166.227
156	  -11807.4	  -2255.04	  -151.936	  -151.936	  -151.936
157	  -11804.8	  -2252.46	  -125.836	  -125.836	  -125.836
158	  -11782.3	  -2229.96	  -91.3788	  -91.3788	  -91.3788
159	  -11751.4	  -2199.06	  -50.5925	  -50.5925	  -50.5925
160	  -11712.5	  -2160.12	  -8.03748	  -8.03748	  -8.03748
161	  -11673.5	  -2121.19	   29.1229	   29.1229	   29.1229
162	  -11673.5	  -2121.21	   55.2225	   55.2225	   55.2225
163	  -11664.5	  -2112.18	   68.3833	   68.3833	   68.3833
164	  -11684.4	  -2132.01	   69.0069	   69.0069	   69.0069
165	  -11710.8	   -2158.5	   58.3413	   58.3413	   58.3413
166	  -11739.4	  -2187.06	   37.4812	   37.4812	   37.4812
167	  -11794.3	  -2241.93	   6.57493	   6.57493	   6.57493
168	  -11828.6	  -2276.27	  -34.2015	  -34.2015	  -34.2015
169	  -11919.5	  -2367.11	  -80.2943	  -80.2943	  -80.2943
170	  -11995.4	  -2443.04	   -119.64	   -119.64	   -119.64
171	  -12020.7	  -2468.38	  -138.638	  -138.638	  -138.638
172	  -12045.1	  -2492.76	  -131.426	  -131.426	  -131.426
173	    -11983	  -2430.66	  -105.033	  -105.033	  -105.033
174	  -11946.3	  -2393.92	  -75.9002	  -75.9002	  -75.9002
175	  -11962.2	  -2409.87	  -54.9833	  -54.9833	  -54.9833
176	  -11975.9	  -2423.52	  -38.7168	  -38.7168	  -38.7168
177	  -11975.9	  -2423.61	  -18.9703	  -18.9703	  -18.9703
178	  -11934.2	  -2381.83	   2.06611	   2.06611	   2.06611
179	  -11914.9	  -2362.54	    11.279	    11.279	    11.279
