Data	M6
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-5071.07
Y-Coord	-5982.30
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
145	  -13723.4	    425.71	   8.24489	   8.24489	   8.24489
146	  -13735.1	   413.965	   4.03225	   4.03225	   4.03225
147	  -13733.2	    415.89	  -2.83048	  -2.83048	  -2.83048
148	    -13740	    409.05	  -11.4969	  -11.4969	  -11.4969
149	  -13749.9	   399.161	  -20.9139	  -20.9139	  -20.9139
150	  -13754.7	   394.364	  -29.5781	  -29.5781	  -29.5781
151	  -13759.8	   389.305	  -35.9967	  -35.9967	  -35.9967
152	  -13759.4	   389.642	   -38.834	   -38.834	   -38.834
153	  -13758.8	   390.309	  -37.2107	  -37.2107	  -37.2107
154	  -13740.2	   408.869	  -31.9657	  -31.9657	  -31.9657
155	  -13726.6	   422.524	  -25.3804	  -25.3804	  -25.3804
156	  -13728.1	   420.995	  -18.3336	  -18.3336	  -18.3336
157	  -13709.4	   439.715	   -9.8722	   -9.8722	   -9.8722
158	  -13697.3	   451.766	 -0.097627	 -0.097627	 -0.097627
159	  -13677.2	   471.885	   8.73382	   8.73382	   8.73382
160	  -13667.3	   481.771	   13.7879	   13.7879	   13.7879
161	    -13671	   478.078	   13.2075	   13.2075	   13.2075
162	  -13658.6	   490.463	   6.32169	   6.32169	   6.32169
163	  -13689.3	   459.774	   -5.1883	   -5.1883	   -5.1883
164	  -13701.5	   447.584	  -17.2069	  -17.2069	  -17.2069
165	  -13691.7	   457.377	  -27.8937	  -27.8937	  -27.8937
166	  -13704.2	   444.875	  -38.8296	  -38.8296	  -38.8296
167	  -13716.2	   432.938	  -49.2519	  -49.2519	  -49.2519
168	  -13737.2	   411.873	  -54.0124	  -54.0124	  -54.0124
169	  -13714.7	   434.385	  -49.8539	  -49.8539	  -49.8539
170	  -13682.2	   466.919	  -40.5376	  -40.5376	  -40.5376
171	  -13681.7	   467.432	  -31.6946	  -31.6946	  -31.6946
172	  -13675.5	   473.589	  -23.9177	  -23.9177	  -23.9177
173	  -13663.3	   485.758	  -14.9464	  -14.9464	  -14.9464
174	  -13639.2	   509.914	  -4.74207	  -4.74207	  -4.74207
175	  -13631.3	   517.782	   4.75839	   4.75839	   4.75839
176	  -13620.7	   528.398	   11.7549	   11.7549	   11.7549
177	  -13601.3	   547.821	    14.332	    14.332	    14.332
178	  -13611.7	   537.375	   11.8873	   11.8873	   11.8873
179	  -13625.1	   523.979	   7.29689	   7.29689	   7.29689
180	  -13616.5	   532.633	   2.83348	   2.83348	   2.83348
181	  -13602.1	   546.959	  -4.40759	  -4.40759	  -4.40759
182	  -13623.6	   525.455	  -17.6394	  -17.6394	  -17.6394
183	    -13656	   493.079	  -33.7053	  -33.7053	  -33.7053
184	  -13657.5	   491.617	   -46.528	   -46.528	   -46.528
185	  -13658.3	   490.831	  -53.8165	  -53.8165	  -53.8165
186	  -13657.5	   491.605	  -56.1997	  -56.1997	  -56.1997
187	  -13660.3	   488.776	  -53.8659	  -53.8659	  -53.8659
188	  -13637.8	   511.323	  -48.1638	  -48.1638	  -48.1638
189	  -13617.8	    531.29	  -43.4043	  -43.4043	  -43.4043
190	  -13628.1	   520.958	  -42.8705	  -42.8705	  -42.8705
191	    -13624	   525.109	  -44.9964	  -44.9964	  -44.9964
192	  -13635.4	    513.67	  -45.2246	  -45.2246	  -45.2246
193	  -13620.8	   528.272	  -40.2564	  -40.2564	  -40.2564
194	    -13598	   551.135	   -30.687	   -30.687	   -30.687
195	  -13590.8	   558.246	  -19.7887	  -19.7887	  -19.7887
196	  -13563.2	   585.881	  -11.5382	  -11.5382	  -11.5382
197	  -13560.9	     588.2	  -9.83869	  -9.83869	  -9.83869
198	  -13562.9	   586.195	   -15.945	   -15.945	   -15.945
199	  -13583.1	   566.019	  -25.5823	  -25.5823	  -25.5823
200	  -13606.5	   542.606	  -30.6651	  -30.6651	  -30.6651
201	  -13572.1	   576.956	  -26.6468	  -26.6468	  -26.6468
202	  -13559.9	   589.227	  -16.5185	  -16.5185	  -16.5185
203	  -13542.6	   606.493	  -6.47938	  -6.47938	  -6.47938
204	  -13521.2	   627.938	  -1.69807	  -1.69807	  -1.69807
205	  -13533.6	   615.459	  -4.27958	  -4.27958	  -4.27958
206	  -13540.2	   608.927	  -11.9699	  -11.9699	  -11.9699
207	  -13551.8	   597.336	  -20.5573	  -20.5573	  -20.5573
208	  -13551.6	   597.537	  -27.9716	  -27.9716	  -27.9716
209	  -13546.1	   602.998	  -35.5517	  -35.5517	  -35.5517
