lambda,transmittance,polished
655.0,0.7475,1.0
654.5,0.7475,1.0
654.0,0.7477,1.0
653.5,0.7485,1.0
653.0,0.7472,1.0
652.5,0.7481,1.0
652.0,0.7476,1.0
651.5,0.7475,1.0
651.0,0.7471,1.0
650.5,0.7477,1.0
650.0,0.7469,1.0
649.5,0.7474,1.0
649.0,0.7461,1.0
648.5,0.7469,1.0
648.0,0.7474,1.0
647.5,0.7466,1.0
647.0,0.7459,1.0
646.5,0.7464,1.0
646.0,0.7464,1.0
645.5,0.7459,1.0
645.0,0.7456,1.0
644.5,0.7456,1.0
644.0,0.7453,1.0
643.5,0.7444,1.0
643.0,0.7453,1.0
642.5,0.7444,1.0
642.0,0.7455,1.0
641.5,0.7435,1.0
641.0,0.7441,1.0
640.5,0.7427,1.0
640.0,0.7431,1.0
639.5,0.7433,1.0
639.0,0.7439,1.0
638.5,0.7423,1.0
638.0,0.7423,1.0
637.5,0.7421,1.0
637.0,0.7424,1.0
636.5,0.7416,1.0
636.0,0.7415,1.0
635.5,0.7412,1.0
635.0,0.7406,1.0
634.5,0.7404,1.0
634.0,0.7397,1.0
633.5,0.7405,1.0
633.0,0.7401,1.0
632.5,0.7403,1.0
632.0,0.7403,1.0
631.5,0.7404,1.0
631.0,0.7404,1.0
630.5,0.7415,1.0
630.0,0.7407,1.0
629.5,0.7424,1.0
629.0,0.7428,1.0
628.5,0.7452,1.0
628.0,0.7446,1.0
627.5,0.746,1.0
627.0,0.7477,1.0
626.5,0.7495,1.0
626.0,0.7498,1.0
625.5,0.7526,1.0
625.0,0.7541,1.0
624.5,0.7544,1.0
624.0,0.7548,1.0
623.5,0.7574,1.0
623.0,0.7587,1.0
622.5,0.7603,1.0
622.0,0.7611,1.0
621.5,0.7617,1.0
621.0,0.7624,1.0
620.5,0.7624,1.0
620.0,0.7647,1.0
619.5,0.7649,1.0
619.0,0.7653,1.0
618.5,0.7659,1.0
618.0,0.7659,1.0
617.5,0.7652,1.0
617.0,0.7653,1.0
616.5,0.7642,1.0
616.0,0.7648,1.0
615.5,0.7635,1.0
615.0,0.7635,1.0
614.5,0.7644,1.0
614.0,0.764,1.0
613.5,0.7646,1.0
613.0,0.764,1.0
612.5,0.7636,1.0
612.0,0.7641,1.0
611.5,0.764,1.0
611.0,0.7635,1.0
610.5,0.7646,1.0
610.0,0.7643,1.0
609.5,0.7645,1.0
609.0,0.7636,1.0
608.5,0.7641,1.0
608.0,0.7641,1.0
607.5,0.765,1.0
607.0,0.7633,1.0
606.5,0.7646,1.0
606.0,0.7641,1.0
605.5,0.766,1.0
605.0,0.7638,1.0
604.5,0.7647,1.0
604.0,0.7644,1.0
603.5,0.7656,1.0
603.0,0.7651,1.0
602.5,0.7659,1.0
602.0,0.7662,1.0
601.5,0.766,1.0
601.0,0.7655,1.0
600.5,0.7658,1.0
600.0,0.7661,1.0
599.5,0.7667,1.0
599.0,0.7664,1.0
598.5,0.766,1.0
598.0,0.7668,1.0
597.5,0.7665,1.0
597.0,0.7673,1.0
596.5,0.7668,1.0
596.0,0.7669,1.0
595.5,0.7672,1.0
595.0,0.7688,1.0
594.5,0.767,1.0
594.0,0.7669,1.0
593.5,0.7682,1.0
593.0,0.7685,1.0
592.5,0.7671,1.0
592.0,0.7684,1.0
591.5,0.7689,1.0
591.0,0.7689,1.0
590.5,0.768,1.0
590.0,0.7692,1.0
589.5,0.7688,1.0
589.0,0.7692,1.0
588.5,0.7693,1.0
588.0,0.7682,1.0
587.5,0.769,1.0
587.0,0.7683,1.0
586.5,0.7701,1.0
586.0,0.7686,1.0
585.5,0.7699,1.0
585.0,0.7689,1.0
584.5,0.7704,1.0
584.0,0.7698,1.0
583.5,0.7703,1.0
583.0,0.7704,1.0
582.5,0.7702,1.0
582.0,0.7702,1.0
581.5,0.7704,1.0
581.0,0.7706,1.0
580.5,0.7707,1.0
580.0,0.7715,1.0
579.5,0.7706,1.0
579.0,0.7718,1.0
578.5,0.7718,1.0
578.0,0.7717,1.0
577.5,0.7713,1.0
577.0,0.7723,1.0
576.5,0.7718,1.0
576.0,0.7727,1.0
575.5,0.7714,1.0
575.0,0.7726,1.0
574.5,0.7727,1.0
574.0,0.7719,1.0
573.5,0.7714,1.0
573.0,0.7729,1.0
572.5,0.7727,1.0
572.0,0.7736,1.0
571.5,0.773,1.0
571.0,0.7734,1.0
570.5,0.7733,1.0
570.0,0.7737,1.0
569.5,0.774,1.0
569.0,0.7734,1.0
568.5,0.7743,1.0
568.0,0.7735,1.0
567.5,0.7753,1.0
567.0,0.7737,1.0
566.5,0.7744,1.0
566.0,0.7746,1.0
565.5,0.7761,1.0
565.0,0.7745,1.0
564.5,0.7755,1.0
564.0,0.7746,1.0
563.5,0.7761,1.0
563.0,0.7749,1.0
562.5,0.7759,1.0
562.0,0.7761,1.0
561.5,0.7765,1.0
561.0,0.7758,1.0
560.5,0.7758,1.0
560.0,0.7768,1.0
559.5,0.7774,1.0
559.0,0.7761,1.0
558.5,0.7769,1.0
558.0,0.7769,1.0
557.5,0.7772,1.0
557.0,0.7766,1.0
556.5,0.7769,1.0
556.0,0.7778,1.0
555.5,0.7775,1.0
555.0,0.7777,1.0
554.5,0.778,1.0
554.0,0.7782,1.0
553.5,0.7777,1.0
553.0,0.7796,1.0
552.5,0.7781,1.0
552.0,0.7784,1.0
551.5,0.7781,1.0
551.0,0.7793,1.0
550.5,0.7785,1.0
550.0,0.7786,1.0
549.5,0.7798,1.0
549.0,0.7797,1.0
548.5,0.7789,1.0
548.0,0.7797,1.0
547.5,0.7801,1.0
547.0,0.7801,1.0
546.5,0.7805,1.0
546.0,0.7796,1.0
545.5,0.7804,1.0
545.0,0.7802,1.0
544.5,0.7812,1.0
544.0,0.78,1.0
543.5,0.7809,1.0
543.0,0.781,1.0
542.5,0.7819,1.0
542.0,0.7805,1.0
541.5,0.781,1.0
541.0,0.7817,1.0
540.5,0.7823,1.0
540.0,0.7808,1.0
539.5,0.7815,1.0
539.0,0.7824,1.0
538.5,0.7819,1.0
538.0,0.7818,1.0
537.5,0.782,1.0
537.0,0.7829,1.0
536.5,0.7825,1.0
536.0,0.7838,1.0
535.5,0.7817,1.0
535.0,0.783,1.0
534.5,0.7825,1.0
534.0,0.7836,1.0
533.5,0.7828,1.0
533.0,0.7831,1.0
532.5,0.7836,1.0
532.0,0.7843,1.0
531.5,0.7831,1.0
531.0,0.7833,1.0
530.5,0.7842,1.0
530.0,0.7842,1.0
529.5,0.7838,1.0
529.0,0.7835,1.0
528.5,0.7843,1.0
528.0,0.7835,1.0
527.5,0.7848,1.0
527.0,0.7839,1.0
526.5,0.7847,1.0
526.0,0.7843,1.0
525.5,0.785,1.0
525.0,0.7846,1.0
524.5,0.7845,1.0
524.0,0.7842,1.0
523.5,0.7851,1.0
523.0,0.7841,1.0
522.5,0.7851,1.0
522.0,0.7853,1.0
521.5,0.7857,1.0
521.0,0.7847,1.0
520.5,0.7853,1.0
520.0,0.7856,1.0
519.5,0.7853,1.0
519.0,0.7847,1.0
518.5,0.785,1.0
518.0,0.7853,1.0
517.5,0.7853,1.0
517.0,0.7855,1.0
516.5,0.7849,1.0
516.0,0.7857,1.0
515.5,0.7851,1.0
515.0,0.7862,1.0
514.5,0.7851,1.0
514.0,0.7856,1.0
513.5,0.7847,1.0
513.0,0.7864,1.0
512.5,0.7851,1.0
512.0,0.7858,1.0
511.5,0.786,1.0
511.0,0.7864,1.0
510.5,0.785,1.0
510.0,0.7863,1.0
509.5,0.7866,1.0
509.0,0.7878,1.0
508.5,0.7875,1.0
508.0,0.7877,1.0
507.5,0.7883,1.0
507.0,0.789,1.0
506.5,0.7895,1.0
506.0,0.7903,1.0
505.5,0.7918,1.0
505.0,0.7915,1.0
504.5,0.7927,1.0
504.0,0.7933,1.0
503.5,0.7946,1.0
503.0,0.7954,1.0
502.5,0.7973,1.0
502.0,0.7972,1.0
501.5,0.7992,1.0
501.0,0.7997,1.0
500.5,0.8017,1.0
500.0,0.8014,1.0
499.5,0.8026,1.0
499.0,0.8042,1.0
498.5,0.8056,1.0
498.0,0.8047,1.0
497.5,0.8064,1.0
497.0,0.8063,1.0
496.5,0.8088,1.0
496.0,0.8076,1.0
495.5,0.8103,1.0
495.0,0.8099,1.0
494.5,0.8122,1.0
494.0,0.8107,1.0
493.5,0.8111,1.0
493.0,0.8125,1.0
492.5,0.8144,1.0
492.0,0.8127,1.0
491.5,0.8145,1.0
491.0,0.8145,1.0
490.5,0.8145,1.0
490.0,0.8147,1.0
489.5,0.8151,1.0
489.0,0.8163,1.0
488.5,0.8158,1.0
488.0,0.8148,1.0
487.5,0.8158,1.0
487.0,0.8155,1.0
486.5,0.8157,1.0
486.0,0.8176,1.0
485.5,0.8163,1.0
485.0,0.8166,1.0
484.5,0.8176,1.0
484.0,0.8178,1.0
483.5,0.818,1.0
483.0,0.818,1.0
482.5,0.8188,1.0
482.0,0.8204,1.0
481.5,0.8185,1.0
481.0,0.8209,1.0
480.5,0.8221,1.0
480.0,0.8229,1.0
479.5,0.8211,1.0
479.0,0.8228,1.0
478.5,0.8229,1.0
478.0,0.8239,1.0
477.5,0.8245,1.0
477.0,0.8252,1.0
476.5,0.8257,1.0
476.0,0.8259,1.0
475.5,0.827,1.0
475.0,0.8283,1.0
474.5,0.8289,1.0
474.0,0.8299,1.0
473.5,0.8304,1.0
473.0,0.8303,1.0
472.5,0.8318,1.0
472.0,0.8322,1.0
471.5,0.8343,1.0
471.0,0.8332,1.0
470.5,0.8348,1.0
470.0,0.8365,1.0
469.5,0.8391,1.0
469.0,0.8366,1.0
468.5,0.8386,1.0
468.0,0.8402,1.0
467.5,0.8427,1.0
467.0,0.8422,1.0
466.5,0.8444,1.0
466.0,0.8452,1.0
465.5,0.8463,1.0
465.0,0.8473,1.0
464.5,0.8484,1.0
464.0,0.8498,1.0
463.5,0.8503,1.0
463.0,0.8528,1.0
462.5,0.854,1.0
462.0,0.855,1.0
461.5,0.8554,1.0
461.0,0.8588,1.0
460.5,0.8575,1.0
460.0,0.8616,1.0
459.5,0.8611,1.0
459.0,0.8616,1.0
458.5,0.8614,1.0
458.0,0.8632,1.0
457.5,0.865,1.0
457.0,0.8658,1.0
456.5,0.8652,1.0
456.0,0.8642,1.0
455.5,0.8662,1.0
455.0,0.8664,1.0
454.5,0.8661,1.0
454.0,0.8652,1.0
453.5,0.864,1.0
453.0,0.8644,1.0
452.5,0.8631,1.0
452.0,0.8621,1.0
451.5,0.8612,1.0
451.0,0.8591,1.0
450.5,0.8582,1.0
450.0,0.8572,1.0
449.5,0.857,1.0
449.0,0.8555,1.0
448.5,0.8547,1.0
448.0,0.8512,1.0
447.5,0.8516,1.0
447.0,0.8524,1.0
446.5,0.8511,1.0
446.0,0.8496,1.0
445.5,0.8481,1.0
445.0,0.8475,1.0
444.5,0.8465,1.0
444.0,0.8452,1.0
443.5,0.8454,1.0
443.0,0.8459,1.0
442.5,0.8439,1.0
442.0,0.8441,1.0
441.5,0.8433,1.0
441.0,0.8434,1.0
440.5,0.8429,1.0
440.0,0.8432,1.0
439.5,0.842,1.0
439.0,0.8416,1.0
438.5,0.8425,1.0
438.0,0.8411,1.0
437.5,0.8413,1.0
437.0,0.843,1.0
436.5,0.8424,1.0
436.0,0.8442,1.0
435.5,0.841,1.0
435.0,0.8419,1.0
434.5,0.8413,1.0
434.0,0.8417,1.0
433.5,0.8414,1.0
433.0,0.8427,1.0
432.5,0.8414,1.0
432.0,0.8438,1.0
431.5,0.8421,1.0
431.0,0.8425,1.0
430.5,0.8436,1.0
430.0,0.8437,1.0
429.5,0.8438,1.0
429.0,0.8438,1.0
428.5,0.8441,1.0
428.0,0.8451,1.0
427.5,0.8445,1.0
427.0,0.8447,1.0
426.5,0.845,1.0
426.0,0.8451,1.0
425.5,0.8467,1.0
425.0,0.8454,1.0
424.5,0.8467,1.0
424.0,0.8473,1.0
423.5,0.8479,1.0
423.0,0.8479,1.0
422.5,0.8497,1.0
422.0,0.8484,1.0
421.5,0.8502,1.0
421.0,0.8512,1.0
420.5,0.8502,1.0
420.0,0.8512,1.0
419.5,0.8513,1.0
419.0,0.852,1.0
418.5,0.8518,1.0
418.0,0.8513,1.0
417.5,0.8525,1.0
417.0,0.8526,1.0
416.5,0.8548,1.0
416.0,0.8534,1.0
415.5,0.854,1.0
415.0,0.8553,1.0
414.5,0.8552,1.0
414.0,0.8556,1.0
413.5,0.857,1.0
413.0,0.8568,1.0
412.5,0.8557,1.0
412.0,0.8582,1.0
411.5,0.858,1.0
411.0,0.857,1.0
410.5,0.8577,1.0
410.0,0.8592,1.0
409.5,0.8579,1.0
409.0,0.8619,1.0
408.5,0.8602,1.0
408.0,0.861,1.0
407.5,0.8613,1.0
407.0,0.8627,1.0
406.5,0.8613,1.0
406.0,0.8621,1.0
405.5,0.8599,1.0
405.0,0.8637,1.0
404.5,0.863,1.0
404.0,0.8628,1.0
403.5,0.8617,1.0
403.0,0.8655,1.0
402.5,0.8623,1.0
402.0,0.8651,1.0
401.5,0.866,1.0
401.0,0.8651,1.0
400.5,0.8643,1.0
400.0,0.8655,1.0
399.5,0.8674,1.0
399.0,0.8659,1.0
398.5,0.8686,1.0
398.0,0.8661,1.0
397.5,0.8675,1.0
397.0,0.8689,1.0
396.5,0.8704,1.0
396.0,0.8669,1.0
395.5,0.8691,1.0
395.0,0.8696,1.0
394.5,0.8717,1.0
394.0,0.8698,1.0
393.5,0.8724,1.0
393.0,0.8716,1.0
392.5,0.8724,1.0
392.0,0.872,1.0
391.5,0.8732,1.0
391.0,0.8733,1.0
390.5,0.8772,1.0
390.0,0.8746,1.0
389.5,0.8757,1.0
389.0,0.8778,1.0
388.5,0.8776,1.0
388.0,0.8796,1.0
387.5,0.8807,1.0
387.0,0.8804,1.0
386.5,0.8821,1.0
386.0,0.8828,1.0
385.5,0.8832,1.0
385.0,0.8851,1.0
384.5,0.8865,1.0
384.0,0.8857,1.0
383.5,0.8892,1.0
383.0,0.8889,1.0
382.5,0.8907,1.0
382.0,0.8931,1.0
381.5,0.8916,1.0
381.0,0.8948,1.0
380.5,0.8923,1.0
380.0,0.8955,1.0
379.5,0.8944,1.0
379.0,0.8963,1.0
378.5,0.8936,1.0
378.0,0.8983,1.0
377.5,0.8952,1.0
377.0,0.8984,1.0
376.5,0.8989,1.0
376.0,0.9016,1.0
375.5,0.8988,1.0
375.0,0.9006,1.0
374.5,0.902,1.0
374.0,0.9021,1.0
373.5,0.9023,1.0
373.0,0.904,1.0
372.5,0.9069,1.0
372.0,0.9056,1.0
371.5,0.9025,1.0
371.0,0.904,1.0
370.5,0.9052,1.0
370.0,0.9033,1.0
369.5,0.9044,1.0
369.0,0.9062,1.0
368.5,0.9089,1.0
